"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EUY453VW","journalArticle","2024","Huang, Keke; Wu, Shujie; Sun, Bei; Yang, Chunhua; Gui, Weihua","Metric Learning-Based Fault Diagnosis and Anomaly Detection for Industrial Data With Intraclass Variance","IEEE Transactions on Neural Networks and Learning Systems","","2162-237X, 2162-2388","10.1109/TNNLS.2022.3175888","https://ieeexplore.ieee.org/document/9780551/","Industrial system monitoring includes fault diagnosis and anomaly detection, which have received extensive attention, since they can recognize the fault types and detect unknown anomalies. However, a separate fault diagnosis method or anomaly detection method cannot identify unknown faults and distinguish between different fault types simultaneously; thus, it is difﬁcult to meet the increasing demand for safety and reliability of industrial systems. Besides, the actual system often operates in varying working conditions and is disturbed by the noise, which results in the intraclass variance of the raw data and degrades the performance of industrial system monitoring. To solve these problems, a metric learning-based fault diagnosis and anomaly detection method is proposed. Fault diagnosis and anomaly detection are adaptively fused in the proposed endto-end model, where anomaly detection can prevent the model from misjudging the unknown anomaly as the known type, while fault diagnosis can identify the speciﬁc type of system fault. In addition, a novel multicenter loss is introduced to restrain the intraclass variance. Compared with manual feature extraction that can only extract suboptimal features, it can learn discriminant features automatically for both fault diagnosis and anomaly detection tasks. Experiments on three-phase ﬂow (TPF) facility and Case Western Reserve University (CWRU) bearing have demonstrated that the proposed method can avoid the interference of intraclass variances and learn features that are effective for identifying tasks. Moreover, it achieves the best performance in both fault diagnosis and anomaly detection.","2024-01","2024-03-08 16:31:22","2025-06-01 11:19:54","2024-03-08 16:31:22","547-558","","1","35","","IEEE Trans. Neural Netw. Learning Syst.","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>Combines anomaly detection + fault classification. Uses a loss to reduce intraclass variance and maximize interclass distance. Uses t-SNE for latent space analysis</p> </div>","/Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/TUNH3QJ6/Huang et al. - 2024 - Metric Learning-Based Fault Diagnosis and Anomaly .pdf; ","notion://www.notion.so/Huang-et-al-2024-afc43ca395214f42980711d619e41baf","Anomaly detection; Deep Learning; Fault classification; Latent space; NN; notion; RPlan: A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F2MI2HD9","journalArticle","2022","Tutivén, Christian; Vidal, Yolanda; Insuasty, Andres; Campoverde-Vilela, Lorena; Achicanoy, Wilson","Early Fault Diagnosis Strategy for WT Main Bearings Based on SCADA Data and One-Class SVM","Energies","","1996-1073","10.3390/en15124381","https://www.mdpi.com/1996-1073/15/12/4381","To reduce the levelized cost of wind energy, through the reduction in operation and maintenance costs, it is imperative that the wind turbine downtime is reduced through maintenance strategies based on condition monitoring. The standard approach toward this challenge is based on vibration monitoring, which requires the installation of speciﬁc tailored sensors that incur associated added costs. On the other hand, the life expectancy of wind parks built during the 1990s wind power boom is dwindling, and data-driven maintenance strategies issued from already accessible supervisory control and data acquisition (SCADA) data is an auspicious competitive solution because no additional sensors are required. Note that it is a major issue to provide fault diagnosis approaches built only on SCADA data, as these data were not established with the objective of being used for condition monitoring but rather for control capacities. The present study posits an early fault diagnosis strategy based exclusively on SCADA data and supports it with results on a real wind park with 18 wind turbines. The contributed methodology is an anomaly detection model based on a one-class support vector machine classiﬁer; that is, it is a semi-supervised approach that trains a decision function that categorizes fresh data as similar or dissimilar to the training set. Therefore, only healthy (normal operation) data is required to train the model, which greatly expands the possibility of employing this methodology (because there is no need for faulty data from the past, and only normal operation SCADA data is needed). The results obtained from the real wind park show that this is a promising strategy.","2022-06-16","2024-03-06 13:05:52","2025-06-01 10:27:47","2024-03-06 13:05:52","4381","","12","15","","Energies","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>Uses SVM and threshold of utrain + sigmatrain</p> </div>","; /Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/BLAW9KRQ/Tutivén et al. - 2022 - Early Fault Diagnosis Strategy for WT Main Bearing.pdf","notion://www.notion.so/Tutiv-n-et-al-2022-9bc8c397811d40ff825381f784e9efee","Anomaly detection; Computer Science - Machine Learning; notion; SCADA data; SVM; Wind turbine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KHZJS559","journalArticle","2019","Wu, Chunzhi; Jiang, Pengcheng; Ding, Chuang; Feng, Fuzhou; Chen, Tang","Intelligent fault diagnosis of rotating machinery based on one-dimensional convolutional neural network","Computers in Industry","","01663615","10.1016/j.compind.2018.12.001","https://linkinghub.elsevier.com/retrieve/pii/S016636151830513X","","2019-06","2024-03-06 13:06:03","2025-06-01 11:10:44","2024-03-06 13:06:03","53-61","","","108","","Computers in Industry","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>Fault classification using vibration data as input and CNN model compared against statistical methods (Wavelet transform). Generates fault data in bench and uses that and healthy data.</p> </div>","; /Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/3VHHFM6C/Wu et al. - 2019 - Intelligent fault diagnosis of rotating machinery .pdf","notion://www.notion.so/Wu-et-al-2019-bb4dec7a2f3a455e8beddd807c913d6e","1D input; CNN; Deep Learning; Fault classification; gearbox; High rated; notion; RPlan: A; SCADA data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GUGVMXAK","journalArticle","2022","Yang, Zhe; Long, Jianyu; Zi, Yanyang; Zhang, Shaohui; Li, Chuan","Incremental Novelty Identification From Initially One-Class Learning to Unknown Abnormality Classification","IEEE Transactions on Industrial Electronics","","0278-0046, 1557-9948","10.1109/TIE.2021.3101001","https://ieeexplore.ieee.org/document/9507260/","In industrial applications, different abnormal conditions of a machine or a machinery ﬂeet typically occur sequentially instead of becoming initially known. Therefore, one of the most challenging tasks for the machinery fault diagnosis is to incrementally classify unknown abnormal patterns. For this reason, an incremental novelty identiﬁcation (INI) method is proposed, on the strength of deep learningbased representation learning, novelty detection and incremental learning. In the INI framework, a convolutional neural network autoencoder is ﬁrst developed for high-level feature extraction from multiple monitoring signals. An online sequential-extreme learning machine (OS-ELM) is then proposed to learn healthy features of the normal condition initially known. The newly collected data are employed for updating the OS-ELM with the quantiﬁcation of the model modiﬁcation for novelty detection. An incremental learning procedure is implemented by adding a new OS-ELM model representing the novel abnormal pattern. The repository of OS-ELMs, each of which represents a speciﬁc condition, is employed for incrementally diagnosing known abnormal patterns with the identiﬁcation of unknown ones. The performance of the proposed INI is validated under experimental scenarios considering both a benchmark bearing case study and a delta three-dimensional printer, and the results are compared with other state-of-the-art approaches.","2022-07","2024-03-06 13:06:00","2025-06-01 11:02:14","2024-03-06 13:06:00","7394-7404","","7","69","","IEEE Trans. Ind. Electron.","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>1DConv + NN autoencoder and then model to classify known anomalies or unknown anomaly</p> </div>","; /Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/KGIW5EQB/Yang et al. - 2022 - Incremental Novelty Identification From Initially .pdf","notion://www.notion.so/Yang-et-al-2022-039146adf8794ed2919b2500856cc68c","Anomaly detection; Autoencoder; bearings; CNN; Fault classification; High rated; Historical Data; notion; RPlan: A; SCADA data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FR47W8N9","journalArticle","2019","Ma, Sai; Chu, Fulei","Ensemble deep learning-based fault diagnosis of rotor bearing systems","Computers in Industry","","01663615","10.1016/j.compind.2018.12.012","https://linkinghub.elsevier.com/retrieve/pii/S0166361518304731","","2019-02","2024-03-06 13:05:55","2025-06-01 10:31:45","2024-03-06 13:05:55","143-152","","","105","","Computers in Industry","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>Ensembles 3 different models (1D Convolutional Residual Network, Deep Belief Network and Deep Auto-encoder) for healthy and different fault states classification based on vibration data on a multiple drive system. Not only bearing faults. Compares against individual model performance and against shallow learning models. Generates synthetic data for training and optimization is for accuracy and diversity (?)</p> </div>","/Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/4FB6Q2KJ/Ma and Chu - 2019 - Ensemble deep learning-based fault diagnosis of ro.pdf; ","notion://www.notion.so/Ma-y-Chu-2019-1c0bae5c8e1d4621a3ec41a9cf5f78a9","Autoencoder; bearings; Deep Learning; Ensemble; Fault classification; notion; RPlan: A; SCADA data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7ESB56WA","journalArticle","2019","Zhang, Jianjing; Wang, Peng; Gao, Robert X.","Deep learning-based tensile strength prediction in fused deposition modeling","Computers in Industry","","01663615","10.1016/j.compind.2019.01.011","https://linkinghub.elsevier.com/retrieve/pii/S0166361518305815","","2019-05","2024-03-06 13:05:40","2025-06-01 10:05:41","2024-03-06 13:05:40","11-21","","","107","","Computers in Industry","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>Compresses vibration and temperature data of a 3D print into an LSTM and its output + other properties are feeded into a NN to predict tensile strength. Interesting approach to add context information to model. It performs relevance analysis of each feature to the model performance</p> </div>","; /Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/MS6FEDZZ/Zhang et al. - 2019 - Deep learning-based tensile strength prediction in.pdf","notion://www.notion.so/Zhang-et-al-2019-870b41b5b6b94debb6117024c2b379bf","3D printer; Adds context info; Anomaly detection; Deep Learning; High rated; Historical Data; Interpretability; Latent space; LSTM; notion; RPlan: A; SCADA data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVBXY45Y","journalArticle","2019","Zhao, Dezun; Wang, Tianyang; Chu, Fulei","Deep convolutional neural network based planet bearing fault classification","Computers in Industry","","01663615","10.1016/j.compind.2019.02.001","https://linkinghub.elsevier.com/retrieve/pii/S0166361518304421","","2019-05","2024-03-06 13:05:38","2025-05-30 14:37:46","2024-03-06 13:05:38","59-66","","","107","","Computers in Industry","","","","","","","","en","","","","","DOI.org (Crossref)","","","<p style=""margin: 0.0px 0.0px 0.0px 0.0px; font: 13.3px Arial; -webkit-text-stroke: #000000;""><span style=""font-family: 'Arial'; font-weight: normal; font-style: normal; font-size: 13.33px; font-kerning: none;"">Fault classification of bearings with vibration data as input preprocessed to time-frequency representation to have a 2D input data (uses technique called synchrosqueezing transform - SST - clauming it’s better than wavelet and STFT) and then pass it through DCNN + FC layer to classify between Healthy and 2 fault types more. Balanced data used.</span></p>","; /Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/5TZVCYZC/Zhao et al. - 2019 - Deep convolutional neural network based planet bea.pdf","notion://www.notion.so/Zhao-et-al-2019-692b8c8c7722470dbd186fd57bfa05bb","2D input; Anomaly detection; bearings; Classified; CNN; Data handling techniques; Deep Learning; Fault classification; Historical Data; NN; notion; Oversampling; Processed data; Read; RPlan: A; SCADA data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J7VMUDH8","journalArticle","2019","Islam, M.M. Manjurul; Kim, Jong-Myon","Automated bearing fault diagnosis scheme using 2D representation of wavelet packet transform and deep convolutional neural network","Computers in Industry","","01663615","10.1016/j.compind.2019.01.008","https://linkinghub.elsevier.com/retrieve/pii/S0166361518302689","","2019-04","2024-03-06 13:05:28","2025-06-01 09:06:21","2024-03-06 13:05:28","142-153","","","106","","Computers in Industry","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""8""><p><span style=""color: rgb(31, 31, 31)""><span style=""background-color: rgb(255, 255, 255)"">CNN architecture with adaptive learning rate and preprocessed data (vibration input and then wavelet transform). Also converts time series input to 2D input. Generates metric of degree of defectiveness ratio (interesting)</span></span></p> <p>Performs anomaly detection first then uses CNN to classify fault over 2D vibration data</p> </div>","/Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/6MJGLBBW/Islam and Kim - 2019 - Automated bearing fault diagnosis scheme using 2D .pdf; ","notion://www.notion.so/Islam-y-Kim-2019-d321e0a615a146e79eebcace8707fb72","2D input; Anomaly detection; bearings; Classified; CNN; Data handling techniques; Deep Learning; Fault classification; Health index; notion; Processed data; Read; RPlan: A; SCADA data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6XXEMGW","journalArticle","2019","Wang, Huaqing; Li, Shi; Song, Liuyang; Cui, Lingli","A novel convolutional neural network based fault recognition method via image fusion of multi-vibration-signals","Computers in Industry","","01663615","10.1016/j.compind.2018.12.013","https://linkinghub.elsevier.com/retrieve/pii/S0166361518305190","","2019-02","2024-03-06 13:05:26","2025-06-01 09:27:26","2024-03-06 13:05:26","182-190","","","105","","Computers in Industry","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""8""><p><span style=""color: rgb(0, 0, 0)""><span style=""background-color: rgb(255, 255, 255)"">Uses CNN + NN for fault classification (directly, anomaly vs all failures known). Uses sliding window and convers input raw vibration to image (interesting). Good results</span></span></p> </div>","; /Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/32GC84MX/Wang et al. - 2019 - A novel convolutional neural network based fault r.pdf","notion://www.notion.so/Wang-et-al-2019-babdadb12394423d8dfe5f12e8cd42c7","2D input; Classified; CNN; Deep Learning; Fault classification; Good theory explanation (CBM); High rated; notion; Re-read; Read; RPlan: A; SCADA data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I7SVQX65","journalArticle","2019","Han, Yan; Tang, Baoping; Deng, Lei","An enhanced convolutional neural network with enlarged receptive fields for fault diagnosis of planetary gearboxes","Computers in Industry","","01663615","10.1016/j.compind.2019.01.012","https://linkinghub.elsevier.com/retrieve/pii/S0166361518305098","","2019-05","2024-03-06 13:05:20","2025-06-01 09:31:25","2024-03-06 13:05:20","50-58","","","107","","Computers in Industry","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""8""><p><span style=""color: rgb(31, 31, 31)""><span style=""background-color: rgb(255, 255, 255)"">Uses an enhanced CNN (enhanced by increasing receptive field) to classify raw vibration data on 8 known health states. Good results although poor improvement over OCNN</span></span></p> </div>","/Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/RMD5YX3U/Han et al. - 2019 - An enhanced convolutional neural network with enla.pdf; ","notion://www.notion.so/Han-et-al-2019-878b56335d1841eaa8c8bddb382cdbeb","1D input; bearings; Classified; CNN; Deep Learning; Fault classification; High rated; Latent space; notion; Read; RPlan: A; SCADA data; t-SNE visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
