"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5LTW9XBY","journalArticle","2024","Milković, Fran; Posilović, Luka; Medak, Duje; Subašić, Marko; Lončarić, Sven; Budimir, Marko","FRAnomaly: flow-based rapid anomaly detection from images","Applied Intelligence","","0924-669X, 1573-7497","10.1007/s10489-024-05332-1","https://link.springer.com/10.1007/s10489-024-05332-1","Detecting anomalies, such as defects in newly manufactured products or damage in long-used material structures, is a tedious task for humans. Given the current advances in the areas of artiﬁcial intelligence (AI) and computer vision, automation of visual quality control is possible and can be a reliable solution. Current methods that achieve state-of-the-art anomaly detection results often use features of different scales extracted from pre-trained convolutional neural networks (CNN). We propose employing multiple feature sets of the same scale alongside a normalizing ﬂow model designed speciﬁcally for such sets. Such input features allow the creation of signiﬁcantly smaller ﬂow models with faster inference. We managed to achieve a decrease of up to 77.5% in the number of ﬂow model parameters and 63.6% in inference time while still accomplishing results better than all other ﬂow models and all but one non-ﬂow method. Experimental evaluation on publicly available MVTec AD and MTD datasets showed a state-of-the-art level of performance of our models, thus proving that it is not necessary to use different scales to detect anomalies of different sizes. This research paves the way for real-time, efﬁcient AI-based automation of visual inspection.","2024-02-23","2024-03-02 10:16:16","2025-06-06 15:36:27","2024-03-02 10:16:16","","","","","","Appl Intell","FRAnomaly","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>Really interesting and well explained paper. Uses NF architecture with CNN layers for feature extraction as opposed to AE and VAE for anomaly detection on 2D images. In a 2D image is able to locate anomaly and give anomaly score. Interesting properties of NF to be applied for Time series</p> </div>","/Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/VY99TM9S/Milković et al. - 2024 - FRAnomaly flow-based rapid anomaly detection from.pdf; ","notion://www.notion.so/Milkovi-et-al-2024-2ea7ff3058a140dea1185f8797a20638","2D input; Anomaly detection; Anomaly Score: Static; CNN; Deep Learning; Generic / Benchmark data; High rated; Normalizing Flow; notion; Output residuals; Representation; RPlan: A; Single entity; SOTA; Univariate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALHBT2Z8","preprint","2018","Zhang, Chuxu; Song, Dongjin; Chen, Yuncong; Feng, Xinyang; Lumezanu, Cristian; Cheng, Wei; Ni, Jingchao; Zong, Bo; Chen, Haifeng; Chawla, Nitesh V.","A Deep Neural Network for Unsupervised Anomaly Detection and Diagnosis in Multivariate Time Series Data","","","","https://doi.org/10.1609/aaai.v33i01.33011409","http://arxiv.org/abs/1811.08055","Nowadays, multivariate time series data are increasingly collected in various real world systems, e.g., power plants, wearable devices, etc. Anomaly detection and diagnosis in multivariate time series refer to identifying abnormal status in certain time steps and pinpointing the root causes. Building such a system, however, is challenging since it not only requires to capture the temporal dependency in each time series, but also need encode the inter-correlations between different pairs of time series. In addition, the system should be robust to noise and provide operators with different levels of anomaly scores based upon the severity of different incidents. Despite the fact that a number of unsupervised anomaly detection algorithms have been developed, few of them can jointly address these challenges. In this paper, we propose a Multi-Scale Convolutional Recurrent Encoder-Decoder (MSCRED), to perform anomaly detection and diagnosis in multivariate time series data. Specifically, MSCRED first constructs multi-scale (resolution) signature matrices to characterize multiple levels of the system statuses in different time steps. Subsequently, given the signature matrices, a convolutional encoder is employed to encode the inter-sensor (time series) correlations and an attention based Convolutional Long-Short Term Memory (ConvLSTM) network is developed to capture the temporal patterns. Finally, based upon the feature maps which encode the inter-sensor correlations and temporal information, a convolutional decoder is used to reconstruct the input signature matrices and the residual signature matrices are further utilized to detect and diagnose anomalies. Extensive empirical studies based on a synthetic dataset and a real power plant dataset demonstrate that MSCRED can outperform state-of-the-art baseline methods.","2018-11-19","2024-03-02 10:29:12","2025-06-06 16:46:04","2024-03-02 10:29:12","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1811.08055 [cs, stat]","<div data-schema-version=""9""><p>Fault classification is done by ranking anomalies and identifying which time series has the highest anomaly score</p> </div>","/Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/ZKBDNAEE/Zhang et al. - 2018 - A Deep Neural Network for Unsupervised Anomaly Det.pdf; /Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/ZAXTGWWN/1811.html; ","notion://www.notion.so/Zhang-et-al-2018-37fab1c18b3b4103991759537fde5d7d","2D input; Anomaly detection; Anomaly Score: Static; Autoencoder; Classified; Deep Learning; Ensemble (CNN + Attention + LSTM); Fault classification; High rated; Multivariate; notion; Output residuals; Power plant; Read; Reconstruction; RPlan: A; Single entity; U-net","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1811.08055","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENAESKMM","journalArticle","2024","Kang, Yuxiang; Chen, Guo; Wang, Hao; Sheng, Jiajiu; Wei, Xunkai","Fault anomaly detection method of aero-engine rolling bearing based on distillation learning","ISA Transactions","","00190578","10.1016/j.isatra.2023.11.034","https://linkinghub.elsevier.com/retrieve/pii/S0019057823005323","In this study, we address the issue of limited generalization capabilities in intelligent diagnosis models caused by the lack of high-quality fault data samples for aero-engine rolling bearings. We provide a fault anomaly detection technique based on distillation learning to address this issue. Two Vision Transformer (ViT) models are specif­ ically used in the distillation learning process, one of which serves as the teacher network and the other as the student network. By using a small-scale student network model, the computational efficiency of the model is increased without sacrificing model accuracy. For feature-centered representation, new loss and anomaly score functions are created, and an enhanced Transformer encoder with the residual block is proposed. Then, a rolling bearing dynamics simulation method is used to obtain rich fault sample data, and the pre-training of the teacher network is completed. For anomaly detection, the training of the student network is completed based on the proposed loss function and the pre-trained teacher network, using only the vibration acceleration samples ob­ tained from the normal state. Finally, the trained completed network and the designed anomaly score function are used to achieve the anomaly detection of rolling bearing faults. The experimental validation was carried out on two sets of test data and one set of real vibration data of a whole aero-engine, and the detection accuracy reached 100 %. The results show that the proposed method has a high capability of rolling bearing fault anomaly detection.","2024-02","2024-03-06 13:03:52","2025-06-06 16:48:50","2024-03-06 13:03:52","387-398","","","145","","ISA Transactions","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>For bearings. Uses Vision Transformers using distillation learning. Uses t-SNE for classification</p> </div>","/Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/HMVPQ6TR/Kang et al. - 2024 - Fault anomaly detection method of aero-engine roll.pdf; ","notion://www.notion.so/Kang-et-al-2024-51d22bee4080448d8b6ae795799750a8","1D input; Aero engine; Anomaly detection; Anomaly Score: Static; Arch type: Custom Transformer; bearings; Deep Learning; Fault classification; Interpretability: Not addressed; Latent space; Multivariate; notion; Representation; RPlan: A; Single entity; t-SNE visualization; Transfer Learning; Transformer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8EQIGVE8","conferencePaper","2017","Zhou, Chong; Paffenroth, Randy C.","Anomaly Detection with Robust Deep Autoencoders","Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","978-1-4503-4887-4","","10.1145/3097983.3098052","https://dl.acm.org/doi/10.1145/3097983.3098052","Deep autoencoders, and other deep neural networks, have demonstrated their e ectiveness in discovering non-linear features across many problem domains. However, in many real-world problems, large outliers and pervasive noise are commonplace, and one may not have access to clean training data as required by standard deep denoising autoencoders. Herein, we demonstrate novel extensions to deep autoencoders which not only maintain a deep autoencoders’ ability to discover high quality, non-linear features but can also eliminate outliers and noise without access to any clean training data. Our model is inspired by Robust Principal Component Analysis, and we split the input data X into two parts, X = LD + S, where LD can be e ectively reconstructed by a deep autoencoder and S contains the outliers and noise in the original data X . Since such spli ing increases the robustness of standard deep autoencoders, we name our model a “Robust Deep Autoencoder (RDA)”. Further, we present generalizations of our results to grouped sparsity norms which allow one to distinguish random anomalies from other types of structured corruptions, such as a collection of features being corrupted across many instances or a collection of instances having more corruptions than their fellows. Such “Group Robust Deep Autoencoders (GRDA)” give rise to novel anomaly detection approaches whose superior performance we demonstrate on a selection of benchmark problems.","2017-08-04","2024-03-07 17:47:29","2025-06-06 16:50:01","2024-03-07 17:47:29","665-674","","","","","","","","","","","ACM","Halifax NS Canada","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""8""><p><span style=""color: rgb(31, 31, 31)""><span style=""background-color: rgb(255, 255, 255)"">Dissertation on training Autoencoders for Anomaly Detection. It tries to make them robust by regularization and training in multiple directions (adapting training with different regularizations per steps). Well explained piece about autoencoders. Uses MNIST 2D data as example.</span></span></p> <p>Similar to was already done to Carriage data!!! Iteratively detect and take out anomalous from training data</p> </div>","; /Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/WYRWPYN5/Zhou and Paffenroth - 2017 - Anomaly Detection with Robust Deep Autoencoders.pdf","notion://www.notion.so/Zhou-y-Paffenroth-2017-3d4b379792e444018627848c5acb8c6b","2D input; Anomaly detection; Anomaly Score: Static; Autoencoder; Classified; Clean noise in training data; Generic / Benchmark data; Good Autoencoder theory; Interpretability: Not addressed; MLP; notion; Read; Reconstruction; RPlan: B; Single entity; Univariate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KDD '17: The 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","","","","","","","","","","","",""
"GHV9IESE","journalArticle","2020","Ellefsen, Andre Listou; Han, Peihua; Cheng, Xu; Holmeset, Finn Tore; Aesoy, Vilmar; Zhang, Houxiang","Online Fault Detection in Autonomous Ferries: Using Fault-type Independent Spectral Anomaly Detection","IEEE Transactions on Instrumentation and Measurement","","0018-9456, 1557-9662","10.1109/TIM.2020.2994012","https://ieeexplore.ieee.org/document/9097190/","Enthusiasm for ship autonomy is ﬂourishing in the maritime industry. In this context, data-driven prognostics and health management (PHM) systems have emerged as the optimal way to improve operational reliability and system safety. However, further research is needed to enhance the essential actions relating to such a system. Fault detection is the ﬁrst and most crucial action of any data-driven PHM system. In this article, we propose a fault-type independent spectral anomaly detection algorithm for marine diesel engine degradation in autonomous ferries. The beneﬁts of the algorithm are veriﬁed on three fault types where the nature of degradation differs. Both normal operation data and faulty degradation data have been collected from a marine diesel engine using two different engine load proﬁles. These proﬁles aim to replicate real autonomous ferry crossing operations, environmental conditions that the ferry may encounter. First, the data are subjected to a feature selection process to remove irrelevant and redundant features. Then, a multiregime normalization method is performed on the data to merge the engine loads into one context. Finally, a variational autoencoder is trained to estimate velocity and acceleration calculations of the anomaly score. Generic and dynamic threshold limits are simultaneously established to detect the fault time step online. The algorithm achieved an accuracy of 97.66% in the ﬁnal test when the acceleration was used as the fault detector. The results suggest that the algorithm is independent of fault types with different nature of degradation related to the marine diesel engine.","2020","2024-03-06 13:06:05","2025-06-06 16:50:35","2024-03-06 13:06:05","1-1","","","","","IEEE Trans. Instrum. Meas.","Online Fault Detection in Autonomous Ferries","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>Uses VAE to estimate variables not known that will be used for anomaly detection</p> </div>","/Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/M2JY7F8A/Ellefsen et al. - 2020 - Online Fault Detection in Autonomous Ferries Usin.pdf; ","notion://www.notion.so/Ellefsen-et-al-2020-89c615db71a64d36b6d15e390a949de4","1D input; Anomaly detection; Anomaly Score: Dynamic; Deep Learning; Diesel engine; Interpretability: Not addressed; MLP; notion; Reconstruction; RPlan: A; SCADA data; Single entity; Univariate; Variable Autoencoder; Varying conditions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZL886D29","journalArticle","2021","Hu, Zhongfeng; Huang, Xiaodi","A Novel Vehicle Gearbox Fault Diagnosis Approach Based on Collective Anomaly Detection","E3S Web of Conferences","","2267-1242","10.1051/e3sconf/202125201052","https://www.e3s-conferences.org/10.1051/e3sconf/202125201052","Targeting the problem of gearbox fault diagnosis, we proposed a novel semi-supervised approach based on collective anomaly detection. Based on the limited sample data, the principle of the approach is to detect whether a test dataset contains abnormal patterns by using data distribution as the metric. The sequence obeying unexpected distribution will be identified as collective anomaly, which may be generated by fault patterns. The approach consists of three steps. First, the mixture of multivariate Gaussian distribution is used to fit the structure of sample dataset and test dataset. Then, based on maximum likelihood estimate algorithm, we hope to search the optimal parameters which can fit the data distribution with the highest degree. Finally, the fixed point iteration algorithm is used to solve likelihood estimate functions. Experimental results demonstrate that the proposed approach can be used to find fault patterns of gearbox without the prior knowledge of their generated mechanisms.","2021","2024-03-06 13:06:08","2025-06-06 16:52:37","2024-03-06 13:06:08","01052","","","252","","E3S Web Conf.","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""8""><p><span style=""color: rgb(31, 31, 31)""><span style=""background-color: rgb(255, 255, 255)"">Shallow learning for bearing faults using Gaussian Mixture Models and maximum likelihood</span></span></p> </div>","/Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/4HDDBTN4/Hu and Huang - 2021 - A Novel Vehicle Gearbox Fault Diagnosis Approach B.pdf; ","notion://www.notion.so/Hu-y-Huang-2021-e57e846d1469438dbf338e51f4edeb52","1D input; Anomaly detection; Anomaly Score: Static; Arch type: SL; Classified; Computer Science - Machine Learning; Gearbox; GMM; Interpretability: Not addressed; Multivariate; notion; Read; Representation; RPlan: A; Single entity","","Rashed, G.I.; Kheshti, M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G4DDYN2I","journalArticle","2019","Zhang, Shaohui; Sun, Zhenzhong; Long, Jianyu; Li, Chuan; Bai, Yun","Dynamic condition monitoring for 3D printers by using error fusion of multiple sparse auto-encoders","Computers in Industry","","01663615","10.1016/j.compind.2018.12.004","https://linkinghub.elsevier.com/retrieve/pii/S0166361518304846","","2019-02","2024-03-06 13:05:49","2025-06-06 16:51:26","2024-03-06 13:05:49","164-176","","","105","","Computers in Industry","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>Similar to research case. Uses multiple sparse AE to reconstruct signals from multiple sensors raw and features learned (statistics and FFT) and combines reconstruction error to detect anomalies and classify into different fault states (degradation). A bit messy paper on the results but really interesting approach. Not a lot of detail on AE model architecture used (hints FC layers) but it is compared against LSTM</p> </div>","; /Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/RRZL47M9/Zhang et al. - 2019 - Dynamic condition monitoring for 3D printers by us.pdf","notion://www.notion.so/Zhang-et-al-2019-6626521bd0544a3c8df6dc38cc40cfa6","1D input; 3D printer; Anomaly detection; Anomaly Score: Static; Autoencoder; Deep Learning; Fault prediction; High rated; Interpretability: Not addressed; MLP; Multivariate; notion; Reconstruction; RPlan: A; SCADA data; Single entity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCZ9PMG9","journalArticle","2022","Velasco-Gallego, Christian; Lazakis, Iraklis","RADIS: A real-time anomaly detection intelligent system for fault diagnosis of marine machinery","Expert Systems with Applications","","09574174","10.1016/j.eswa.2022.117634","https://linkinghub.elsevier.com/retrieve/pii/S0957417422009423","By enhancing data accessibility, the implementation of data-driven models has been made possible to empower strategies in relation to O&M activities. Such models have been extensively applied to perform anomaly detection tasks, with the express purpose of detecting data patterns that deviate significantly from normal operational behaviour. Due to its preeminent importance in the maritime industry to adequately identify the behaviour of marine systems, the Real-time Anomaly Detection Intelligent System (RADIS) framework, constituted by a Long Short-Term Memory-based Variational Autoencoder in tandem with multi-level Otsu’s thresholding, is proposed. RADIS aims to address the current gaps identified within the maritime industry in relation to data-driven model applications for enabling smart maintenance. To assess the performance of such a framework, a case study on a total of 14 parameters obtained from sensors installed on a diesel generator of a tanker ship is introduced to highlight the implementation of RADIS. Results demonstrated the capability of RADIS to be part of a diagnostic analytics tool that will promote the implementation of smart maintenance within the maritime industry, as RADIS detected an average of 92.5% of anomalous instances in the presented case study.","2022-10","2024-03-06 13:05:08","2025-06-06 17:01:38","2024-03-06 13:05:08","117634","","","204","","Expert Systems with Applications","RADIS","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>Uses VAE to 'denoise' several parameters and use that to detect anomalies although not super successful</p> </div>","; /Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/NNW8G4NH/Velasco-Gallego and Lazakis - 2022 - RADIS A real-time anomaly detection intelligent s.pdf","notion://www.notion.so/Velasco-Gallego-y-Lazakis-2022-104beaa2ad524fafaabb633e41ab42d9","1D input; Anomaly Score: Dynamic; Interpretability: Not addressed; LSTM; Marine engine; Multivariate; notion; Representation; Single entity; Variable Autoencoder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2XY7MJLJ","journalArticle","2021","Arellano-Espitia, Francisco; Delgado-Prieto, Miguel; Gonzalez-Abreu, Artvin-Darien; Saucedo-Dorantes, Juan Jose; Osornio-Rios, Roque Alfredo","Deep-Compact-Clustering Based Anomaly Detection Applied to Electromechanical Industrial Systems","Sensors","","1424-8220","10.3390/s21175830","https://www.mdpi.com/1424-8220/21/17/5830","The rapid growth in the industrial sector has required the development of more productive and reliable machinery, and therefore, leads to complex systems. In this regard, the automatic detection of unknown events in machinery represents a greater challenge, since uncharacterized catastrophic faults can occur. However, the existing methods for anomaly detection present limitations when dealing with highly complex industrial systems. For that purpose, a novel fault diagnosis methodology is developed to face the anomaly detection. An unsupervised anomaly detection framework named deep-autoencoder-compact-clustering one-class support-vector machine (DAECC-OC-SVM) is presented, which aims to incorporate the advantages of automatically learnt representation by deep neural network to improved anomaly detection performance. The method combines the training of a deep-autoencoder with clustering compact model and a one-class supportvector-machine function-based outlier detection method. The addressed methodology is applied on a public rolling bearing faults experimental test bench and on multi-fault experimental test bench. The results show that the proposed methodology it is able to accurately to detect unknown defects, outperforming other state-of-the-art methods.","2021-08-30","2024-03-10 20:08:43","2025-06-06 16:51:13","2024-03-10 20:08:43","5830","","17","21","","Sensors","","","","","","","","en","","","","","DOI.org (Crossref)","","","<div data-schema-version=""9""><p>Very similar to research case. Autoencoder based but input data already preprocessed (FFT estimation). Grabs bottleneck data and passes it through an Encoder-only network to enhance compactness of clusters (increase inter class distance). And then another model is trained to classify</p> </div>","/Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/X3NN2K4V/Arellano-Espitia et al. - 2021 - Deep-Compact-Clustering Based Anomaly Detection Ap.pdf; ","notion://www.notion.so/Arellano-Espitia-et-al-2021-870ef6fde4744641b8a307e2a65a25e5","1D input; Anomaly detection; Anomaly Score: Dynamic; Autoencoder; bearings; Deep Learning; Fault classification; High rated; Interpretability: Latent space; Latent space; MLP; Multivariate; notion; Processed data; Reconstruction; RPlan: A; Single entity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VTGD82Y3","journalArticle","2019","Song, Wenbin; Wen, Long; Gao, Liang; Li, Xinyu","Unsupervised fault diagnosis method based on iterative multi‐manifold spectral clustering","IET Collaborative Intelligent Manufacturing","","2516-8398, 2516-8398","10.1049/iet-cim.2019.0003","https://onlinelibrary.wiley.com/doi/10.1049/iet-cim.2019.0003","Fault diagnosis is very important to the modern manufacturing system. As a powerful data-driven method, machine learning (ML) has been widely used for fault diagnosis. However, a certain amount of labelled data is essential to most of the ML methods, which is not always available. In this study, an unsupervised fault diagnosis method based on iterative multi-manifold spectral clustering (IMMSC) is proposed. The IMMSC, that the affinity matrix is constructed based on local tangent space, can improve the performance of spectral clustering on multi-manifold distributed data. The IMMSC is conducted after feature extraction to divide data into different clusters first. Then local outlier factor is utilised to identify the normal condition. A fault index is found to recognise the fault conditions. The proposed IMMSC is tested on five simulation datasets and the proposed method is validated on the motor bearing dataset provided by Case Western Reserve University. The mean accuracy of IMMSC on simulation data is 97.85%, which outperforms the other spectral clustering and traditional methods. Furthermore, the result of the IMMSC is stable over 30 individual tests. The mean accuracy of the proposed method on motor bearing dataset is 98.53%. The result demonstrates its potential in fault diagnosis field.","2019-06","2024-03-12 18:33:29","2025-06-06 17:02:27","2024-03-12 18:33:29","48-55","","2","1","","IET Collaborative Intelligent Manufacturing","","","","","","","","en","","","","","DOI.org (Crossref)","","","","; /Users/Adri/Library/CloudStorage/GoogleDrive-adria.molero@upc.edu/Mi unidad/Zotero/storage/FJ63VUVZ/Song et al. - 2019 - Unsupervised fault diagnosis method based on itera.pdf","notion://www.notion.so/Song-et-al-2019-9214326ca0cb4d6091b1f43acc91aa47","1D input; Anomaly detection; Anomaly Score: Static; Arch type: SL; bearings; Clustering; Computer Science - Machine Learning; Fault classification; IMMSC; Interpretability: Not addressed; Multivariate; notion; Representation; RPlan: A; Single entity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
